latitude,longitude,station_name,temp
35.653333333333336,137.89833333333334,飯島,31.5
34.74,136.93833333333333,南知多,30.4
35.52333333333333,133.56666666666666,塩津,30.4
34.69166666666667,137.88,磐田,29.7
33.251666666666665,134.17666666666668,室戸岬,29.1
36.98166666666667,140.01833333333335,黒磯,27.4
36.89333333333333,136.77666666666667,羽咋,32.3
35.483333333333334,135.78166666666667,小浜,35.8
24.055,123.76666666666667,波照間,32.6
38.56666666666667,139.55166666666668,鼠ケ関,28.3
36.27166666666667,138.31333333333333,立科,30.1
34.78333333333333,135.43833333333333,豊中,35.1
43.39666666666667,141.43666666666667,厚田,27.9
39.71666666666667,140.09833333333333,秋田,28.5
36.096666666666664,133.09666666666666,海士,30.8
33.663333333333334,132.895,久万,29.1
37.14333333333333,138.72666666666666,十日町,32.2
35.01166666666666,135.735,京都,33.8
35.13666666666666,135.065,柏原,34.5
43.221666666666664,145.22666666666666,厚床,22.1
32.711666666666666,131.29,高千穂,27.0
43.718333333333334,142.07333333333332,深川,26.7
33.77166666666667,134.19833333333332,木頭,26.8
34.60333333333333,138.21333333333334,御前崎,29.7
43.16833333333334,142.56833333333333,幾寅,27.4
32.06333333333333,131.41333333333333,西都,29.9
34.685,133.925,岡山,34.6
33.235,131.61833333333334,大分,31.9
34.748333333333335,139.36166666666668,大島,29.2
43.74166666666667,143.45,留辺蘂,29.1
33.385,133.27666666666667,須崎,29.6
33.25333333333333,132.675,近永,30.2
33.583333333333336,130.45166666666665,博多,34.5
27.431666666666665,128.705,沖永良部,32.8
36.38666666666666,139.03833333333333,前橋,30.9
33.903333333333336,132.29333333333332,安下庄,32.8
37.721666666666664,140.05833333333334,桧原,26.8
37.276666666666664,140.06333333333333,湯本,25.4
33.638333333333335,135.71,西川,29.7
35.55833333333333,134.36,岩井,33.3
33.321666666666665,130.92833333333334,日田,34.8
33.678333333333335,131.575,国見,31.0
24.466666666666665,122.97833333333334,所野,31.3
37.343333333333334,139.31333333333333,只見,31.4
43.52,144.74666666666667,上標津,24.0
32.21666666666667,130.755,人吉,30.2
38.07333333333333,138.44,両津,28.6
35.111666666666665,134.17,奈義,33.4
34.28,134.99833333333333,友ケ島,33.0
33.39,132.92166666666665,梼原,27.1
41.42333333333333,140.08666666666667,松前,24.9
34.25,133.00666666666666,大三島,33.5
34.165,132.74833333333333,呉市蒲刈,33.0
44.33166666666666,142.935,西興部,28.8
37.28666666666667,140.625,小野新町,29.1
33.24666666666667,134.175,室戸岬,29.1
45.10166666666667,141.78,豊富,22.6
35.098333333333336,134.325,今岡,31.9
33.82666666666667,132.69833333333332,松山南吉田,30.5
31.198333333333334,130.84333333333333,田代,28.2
36.93333333333333,138.22166666666666,関山,29.3
32.946666666666665,131.04,阿蘇乙姫,29.2
39.846666666666664,141.795,岩泉,27.2
31.668333333333333,130.32833333333335,東市来,29.3
40.22666666666667,140.37166666666667,鷹巣,29.3
39.60333333333333,140.55666666666667,角館,30.3
36.395,140.24,笠間,30.5
26.835,128.27166666666668,奥,30.1
35.43333333333333,133.33833333333334,米子,33.2
35.99,139.07333333333332,秩父,30.2
44.345,143.355,紋別,22.7
34.95,134.74833333333333,福崎,34.3
31.555,130.54666666666665,鹿児島,28.8
35.73833333333333,140.85666666666665,銚子,29.3
43.455,142.465,上富良野,29.5
37.22666666666667,138.96333333333334,小出,33.3
34.486666666666665,133.95,玉野,31.6
36.08833333333333,137.68333333333334,奈川,30.1
38.028333333333336,138.24,相川,29.2
42.071666666666665,139.43166666666667,米岡,23.9
37.49166666666667,140.965,浪江,27.5
26.206666666666667,127.68666666666667,那覇,31.5
38.75666666666667,140.31166666666667,新庄,31.1
36.46333333333333,138.46333333333334,田代,24.8
35.21666666666667,138.22166666666666,井川,27.0
35.166666666666664,134.79166666666666,生野,33.2
32.58166666666666,131.65666666666667,延岡,30.6
31.843333333333334,131.30833333333334,田野,28.7
35.275,135.55,美山,33.6
34.59,133.76833333333335,倉敷,33.8
34.675,131.79,高津,29.6
35.108333333333334,135.455,園部,34.5
35.06333333333333,134.00833333333333,津山,33.4
36.67,137.42333333333335,上市,31.0
34.615,131.62333333333333,須佐,33.0
24.826666666666668,125.14333333333333,下地島,31.8
33.791666666666664,135.51333333333332,栗栖川,31.8
35.166666666666664,136.965,名古屋,31.9
35.553333333333335,139.78,羽田,31.2
36.946666666666665,140.90333333333334,小名浜,26.7
34.196666666666665,129.29166666666666,厳原,28.9
36.545,136.87166666666667,南砺高宮,31.1
39.18666666666667,140.46333333333334,湯沢,30.0
35.638333333333335,139.86333333333334,江戸川臨海,31.8
35.96333333333333,140.62166666666667,鹿嶋,30.4
36.61666666666667,138.59166666666667,草津,23.9
43.61666666666667,144.45666666666668,川湯,23.9
33.71333333333333,130.975,行橋,32.3
37.76833333333333,140.435,福島,31.8
36.155,137.25333333333333,高山,33.8
44.965,142.28,中頓別,26.2
35.73833333333333,139.59166666666667,練馬,32.3
33.58166666666666,130.37666666666667,福岡,34.5
34.38,135.73,五條,33.1
37.22666666666667,140.42666666666668,玉川,27.2
43.06,141.32833333333335,札幌,25.8
35.211666666666666,137.50666666666666,稲武,28.8
32.225,130.905,上,30.1
32.99,132.92,中村,30.0
36.47666666666667,139.98666666666668,真岡,29.2
36.38166666666667,136.435,小松,32.8
35.32333333333333,134.84833333333333,和田山,34.5
32.915,130.51166666666666,岱明,32.8
33.00666666666667,130.46666666666667,大牟田,32.6
35.446666666666665,137.40333333333334,恵那,32.8
32.721666666666664,133.01,清水,29.3
36.39666666666667,136.62,白山河内,32.2
