,var_latitude,var_longitude,var_value,matched_station_name,matched_station_latitude,matched_station_longitude,temp,distance
0,34.888888888888886,135.13131313131314,20.781234792798788,三田,34.895,135.21166666666667,33.7,0.08058558383994444
1,37.33333333333333,139.59595959595958,20.383280012580546,南郷,37.265,139.53666666666666,30.4,0.09047151987547936
2,32.0,130.40404040404042,19.46689532352452,東市来,31.668333333333333,130.32833333333335,29.3,0.3401974990102411
3,36.44444444444444,138.02020202020202,18.300000185988168,信州新町,36.54833333333333,137.99666666666667,33.9,0.10652142554717298
4,35.55555555555556,133.8181818181818,16.29111126709453,倉吉,35.473333333333336,133.83833333333334,32.2,0.08465564003693092
5,39.55555555555556,140.3838383838384,12.590598139609066,大曲,39.49,140.495,30.3,0.12905206612781736
6,31.555555555555557,131.1919191919192,7.015649719665271,志布志,31.47833333333333,131.095,29.8,0.12392175501988825
7,34.0,135.13131313131314,5.74701516414716,友ケ島,34.28,134.9983333333333,33.0,0.30997359027948923
8,35.33333333333333,134.86868686868686,5.525455561080743,柏原,35.13666666666666,135.065,34.5,0.27787879246848723
9,35.55555555555556,137.23232323232324,5.367493448972855,恵那,35.446666666666665,137.40333333333334,32.8,0.20273441930501343
10,38.22222222222222,140.9090909090909,5.290847835480273,仙台,38.26166666666666,140.89666666666668,27.1,0.04135487876111735
11,34.44444444444444,133.55555555555554,5.17855203528321,倉敷,34.59,133.76833333333337,33.8,0.25779992720937633
12,35.33333333333333,133.2929292929293,5.107732724924027,米子,35.43333333333333,133.33833333333334,33.2,0.10982498297296343
13,42.666666666666664,140.9090909090909,5.041060900954326,真狩,42.775,140.88,22.6,0.1121712623752045
14,31.11111111111111,130.66666666666666,4.950256096787379,指宿,31.25,130.63666666666666,28.6,0.14209195422961252
15,34.44444444444444,132.24242424242425,4.85395490765808,加計,34.61,132.32,34.2,0.18282953847439304
16,36.0,140.12121212121212,4.730994145642181,つくば,36.056666666666665,140.125,30.4,0.05679312578844858
17,35.111111111111114,139.33333333333334,4.719787218648707,海老名,35.43333333333333,139.38666666666666,32.3,0.3266061924371081
18,39.111111111111114,141.17171717171718,4.669409574886084,江刺,39.18333333333333,141.16166666666666,29.3,0.07291818726823603
19,34.666666666666664,135.3939393939394,4.66863547648667,豊中,34.78333333333333,135.43833333333333,35.1,0.12482761299497369
20,38.44444444444444,140.64646464646464,4.635314021021221,新川,38.303333333333335,140.63666666666666,26.7,0.1414508610335518
21,44.44444444444444,142.74747474747474,4.6016962162235,美深,44.48,142.34166666666667,28.3,0.40736273268426826
22,44.44444444444444,143.27272727272728,4.4880799712007855,紋別,44.345,143.355,22.7,0.12906587149108673
23,34.666666666666664,136.7070707070707,4.436289593675211,小俣,34.528333333333336,136.665,31.3,0.14458926483158746
24,35.55555555555556,138.2828282828283,4.42821458215334,切石,35.46666666666667,138.44166666666666,32.5,0.18201886371551487
25,34.666666666666664,134.6060606060606,4.416348876073025,姫路,34.83833333333333,134.67,33.3,0.18318758293558368
26,44.44444444444444,142.4848484848485,4.368582052976308,士別,44.18666666666667,142.41666666666666,28.4,0.26664235043711615
27,34.666666666666664,136.1818181818182,4.270299023109837,針,34.605,135.95166666666665,31.2,0.23826980023562425
28,34.666666666666664,136.44444444444446,4.256373499611654,四日市,34.94,136.58,30.3,0.30510067150546627
29,37.111111111111114,140.3838383838384,4.254912170560566,玉川,37.22666666666667,140.42666666666668,27.2,0.12323695967432673
30,39.33333333333333,140.3838383838384,4.250640979393066,角館,39.60333333333333,140.55666666666667,30.3,0.3205770037687867
31,35.77777777777778,136.44444444444446,4.231137689189199,大野,35.971666666666664,136.49666666666667,33.3,0.20079856007549637
32,42.888888888888886,140.3838383838384,4.2246928085222315,長万部,42.516666666666666,140.3733333333333,22.6,0.3723704322340352
33,32.666666666666664,129.87878787878788,4.190662709374192,雲仙岳,32.736666666666665,130.25,26.7,0.37775446911294797
34,36.0,140.64646464646464,4.128334395977581,鹿嶋,35.96333333333333,140.62166666666667,30.4,0.0442649324692241
35,34.22222222222222,130.92929292929293,4.118933123497446,行橋,33.71333333333333,130.975,32.3,0.5109374105966308
36,32.22222222222222,131.45454545454547,4.118125318567617,西都,32.06333333333333,131.41333333333333,29.9,0.1641466355035943
37,42.666666666666664,143.53535353535352,4.105470228140766,大津,42.68666666666667,143.64666666666668,21.8,0.11309559320654108
38,35.33333333333333,137.4949494949495,4.042372463097891,稲武,35.211666666666666,137.50666666666666,28.8,0.12222957862492206
39,39.111111111111114,141.6969696969697,3.952380837911187,遠野,39.33833333333333,141.54333333333332,27.8,0.2742882981517954
40,39.77777777777778,140.3838383838384,3.875968875358558,岩見三内,39.70666666666666,140.28666666666666,28.5,0.12041234463941242
41,43.55555555555556,143.27272727272728,3.875575609064981,留辺蘂,43.74166666666667,143.45,29.1,0.2570271688240679
42,34.888888888888886,133.03030303030303,3.872263607743079,庄原,34.86,133.02333333333334,33.5,0.029717748519760594
43,34.22222222222222,135.3939393939394,3.858747446207017,かつらぎ,34.31,135.52833333333334,33.5,0.1605199963164248
44,37.55555555555556,138.8080808080808,3.8415742760035214,寺泊,37.64,138.76666666666668,31.0,0.094053151497436
45,36.888888888888886,140.64646464646464,3.8185965343467245,東白川,36.93833333333333,140.40833333333333,28.9,0.24321035212354677
46,34.666666666666664,133.03030303030303,3.818164836784163,府中,34.56166666666667,133.23166666666663,34.2,0.22709538535507406
47,36.22222222222222,139.33333333333334,3.7973963068221934,寄居,36.105,139.18333333333334,30.5,0.19037082072292041
